Player,Age,Nat.,Club,Market value,minutes_played,goals,assists,position,foot,height_in_cm,overall,potential,total_gk,total_stats,pace,shooting,passing,dribbling,defending,physical,cost
Giovanni Reyna,21,United States,Borussia Dortmund,18.0,5363.0,17.0,18.0,Midfield,right,185.0,78.0,84.0,56.0,1934.0,77.0,73.0,74.0,82.0,37.0,69.0,22.0
Yankuba Minteh,20,The Gambia,Brighton & Hove Albion,16.0,2627.0,13.0,9.0,Attack,left,180.0,72.0,86.0,43.0,1732.0,93.0,61.0,59.0,76.0,41.0,54.0,5.5
Jack Hinshelwood,19,England,Brighton & Hove Albion,16.0,1218.0,3.0,0.0,Midfield,right,182.0,66.0,82.0,41.0,1842.0,63.0,62.0,66.0,67.0,63.0,64.0,2.1
Wilfried Gnonto,20,Italy,Leeds United,16.0,1936.0,5.0,5.0,Attack,right,170.0,74.0,85.0,53.0,1836.0,87.0,72.0,65.0,79.0,30.0,66.0,9.0
Eli Junior Kroupi,18,France,FC Lorient,15.0,1084.0,5.0,3.0,Attack,right,179.0,67.0,81.0,53.0,1735.0,71.0,61.0,65.0,72.0,45.0,53.0,2.3
Antonio Nusa,19,Norway,RB Leipzig,15.0,1947.0,5.0,5.0,Attack,right,180.0,72.0,86.0,59.0,1848.0,88.0,64.0,65.0,79.0,41.0,59.0,5.5
Eliesse Ben Seghir,19,Morocco,AS Monaco,15.0,1609.0,6.0,5.0,Midfield,right,178.0,73.0,85.0,39.0,1761.0,77.0,73.0,65.0,76.0,28.0,54.0,7.0
Valentín Carboni,19,Argentina,Olympique Marseille,15.0,1213.0,2.0,4.0,Midfield,left,185.0,64.0,84.0,52.0,1669.0,67.0,51.0,65.0,66.0,45.0,53.0,1.6
Carlos Alcaraz,21,Argentina,Southampton FC,15.0,1714.0,5.0,5.0,Midfield,right,183.0,73.0,84.0,48.0,1982.0,82.0,71.0,71.0,79.0,50.0,68.0,6.5
Malick Fofana,19,Belgium,Olympique Lyon,15.0,2714.0,6.0,8.0,Attack,right,169.0,71.0,85.0,50.0,1700.0,87.0,60.0,64.0,78.0,35.0,43.0,4.4
Chadi Riad,21,Morocco,Crystal Palace,15.0,2315.0,0.0,0.0,Defender,left,187.0,69.0,81.0,49.0,1540.0,53.0,32.0,54.0,53.0,70.0,61.0,3.2
Carney Chukwuemeka,20,England,Chelsea FC,15.0,928.0,2.0,2.0,Midfield,right,187.0,69.0,82.0,54.0,1773.0,66.0,62.0,66.0,73.0,50.0,61.0,3.3
Aaron Ramsey,21,England,Burnley FC,15.0,23507.0,64.0,62.0,Midfield,right,178.0,70.0,82.0,56.0,1799.0,73.0,63.0,67.0,72.0,50.0,60.0,3.8
Tommaso Baldanzi,21,Italy,AS Roma,15.0,3216.0,6.0,0.0,Midfield,left,170.0,77.0,87.0,50.0,1890.0,78.0,72.0,74.0,81.0,41.0,50.0,23.0
Giannis Konstantelias,21,Greece,PAOK Thessaloniki,15.0,4347.0,14.0,11.0,Midfield,both,178.0,73.0,83.0,43.0,1803.0,75.0,65.0,72.0,77.0,37.0,54.0,6.5
Conor Bradley,21,Northern Ireland,Liverpool FC,15.0,1505.0,1.0,6.0,Defender,right,181.0,74.0,84.0,49.0,1904.0,82.0,59.0,66.0,72.0,68.0,72.0,8.5
Fabio Miretti,21,Italy,Juventus FC,15.0,3103.0,2.0,5.0,Midfield,right,180.0,75.0,88.0,52.0,2033.0,77.0,60.0,75.0,78.0,66.0,72.0,13.5
Elliot Anderson,21,Scotland,Nottingham Forest,15.0,1763.0,0.0,3.0,Midfield,right,179.0,74.0,82.0,40.0,2016.0,73.0,66.0,71.0,78.0,67.0,76.0,9.0
Victor Kristiansen,21,Denmark,Leicester City,15.0,7686.0,1.0,10.0,Defender,left,181.0,74.0,80.0,46.0,1912.0,74.0,55.0,64.0,72.0,71.0,75.0,6.0
Giovanni Fabbian,21,Italy,Bologna FC 1909,14.0,1263.0,5.0,2.0,Midfield,right,186.0,72.0,83.0,38.0,1942.0,71.0,73.0,70.0,73.0,60.0,63.0,5.0
Valentín Barco,20,Argentina,Brighton & Hove Albion,13.0,318.0,0.0,0.0,Defender,left,170.0,72.0,84.0,49.0,1887.0,76.0,47.0,73.0,77.0,66.0,58.0,5.0
Samuel Iling-Junior,20,England,Aston Villa,13.0,1545.0,2.0,4.0,Attack,left,182.0,73.0,87.0,45.0,1797.0,83.0,61.0,69.0,78.0,37.0,56.0,7.0
Ibrahim Osman,19,Ghana,Feyenoord Rotterdam,12.0,2025.0,5.0,5.0,Attack,right,179.0,66.0,84.0,49.0,1608.0,84.0,58.0,57.0,72.0,27.0,54.0,2.2
Abakar Sylla,21,Cote d'Ivoire,RC Strasbourg Alsace,12.0,3569.0,3.0,0.0,Defender,left,188.0,72.0,82.0,55.0,1699.0,71.0,30.0,56.0,68.0,70.0,77.0,4.8
Patrick Dorgu,19,Denmark,US Lecce,12.0,1639.0,2.0,1.0,Defender,left,185.0,65.0,83.0,43.0,1673.0,80.0,50.0,54.0,67.0,57.0,53.0,1.7
Semih Kılıçsoy,19,Türkiye,Besiktas JK,12.0,1806.0,12.0,3.0,Attack,right,178.0,68.0,84.0,36.0,1676.0,78.0,69.0,54.0,70.0,31.0,70.0,3.0
Santiago Castro,19,Argentina,Bologna FC 1909,12.0,237.0,1.0,1.0,Attack,right,179.0,71.0,81.0,59.0,1809.0,82.0,71.0,56.0,71.0,37.0,68.0,4.0
El Chadaille Bitshiabu,19,France,RB Leipzig,12.0,656.0,0.0,0.0,Defender,left,196.0,68.0,83.0,55.0,1504.0,37.0,36.0,55.0,51.0,67.0,77.0,2.6
David Datro Fofana,21,Cote d'Ivoire,Chelsea FC,12.0,2499.0,8.0,3.0,Attack,right,180.0,72.0,83.0,54.0,1745.0,86.0,66.0,58.0,76.0,22.0,72.0,5.0
Ricardo Pepi,21,United States,PSV Eindhoven,12.0,3895.0,22.0,6.0,Attack,right,185.0,73.0,83.0,54.0,1792.0,71.0,74.0,57.0,69.0,41.0,71.0,6.5
James McAtee,21,England,Manchester City,12.0,1945.0,5.0,4.0,Midfield,left,180.0,70.0,80.0,45.0,1721.0,72.0,63.0,66.0,73.0,41.0,60.0,3.5
Emanuel Emegha,21,Netherlands,RC Strasbourg Alsace,12.0,3525.0,11.0,2.0,Attack,right,195.0,72.0,82.0,49.0,1724.0,81.0,71.0,54.0,69.0,30.0,74.0,5.0
Aster Vranckx,21,Belgium,VfL Wolfsburg,12.0,5348.0,7.0,5.0,Midfield,right,183.0,74.0,81.0,55.0,1993.0,61.0,66.0,71.0,77.0,69.0,76.0,8.5
George Ilenikhena,18,France,AS Monaco,10.0,1115.0,9.0,1.0,Attack,left,185.0,70.0,86.0,38.0,1671.0,81.0,71.0,56.0,69.0,26.0,61.0,4.0
Gianluca Prestianni,18,Argentina,SL Benfica,10.0,3.0,0.0,0.0,Attack,right,166.0,68.0,82.0,52.0,1675.0,87.0,60.0,57.0,76.0,35.0,46.0,2.8
Jeanuël Belocian,19,France,Bayer 04 Leverkusen,10.0,2451.0,0.0,1.0,Defender,left,182.0,70.0,82.0,63.0,1786.0,69.0,41.0,64.0,65.0,70.0,69.0,3.5
Lamine Camara,20,Senegal,AS Monaco,10.0,2266.0,1.0,4.0,Midfield,right,173.0,71.0,83.0,61.0,1861.0,79.0,62.0,71.0,73.0,54.0,57.0,4.4
Dean Huijsen,19,Spain,AFC Bournemouth,10.0,614.0,2.0,1.0,Defender,both,197.0,68.0,85.0,55.0,1696.0,64.0,46.0,60.0,62.0,68.0,66.0,2.9
Simone Pafundi,18,Italy,FC Lausanne-Sport,10.0,137.0,0.0,0.0,Midfield,left,166.0,68.0,86.0,43.0,1837.0,77.0,65.0,66.0,74.0,46.0,53.0,3.0
Matteo Prati,20,Italy,Cagliari Calcio,10.0,1973.0,1.0,1.0,Midfield,right,185.0,73.0,85.0,55.0,1977.0,65.0,65.0,73.0,72.0,69.0,70.0,7.0
Ismaël Doukouré,21,France,RC Strasbourg Alsace,10.0,3977.0,1.0,1.0,Defender,right,183.0,72.0,81.0,60.0,1736.0,67.0,42.0,60.0,64.0,72.0,71.0,4.8
Shea Charles,20,Northern Ireland,Southampton FC,10.0,27.0,0.0,0.0,Midfield,right,189.0,67.0,79.0,40.0,1703.0,61.0,47.0,65.0,61.0,65.0,69.0,2.3
Wilson Odobert,19,France,Tottenham Hotspur,10.0,4050.0,8.0,5.0,Attack,right,182.0,71.0,84.0,45.0,1669.0,86.0,64.0,62.0,75.0,30.0,47.0,4.4
Ben Doak,18,Scotland,Liverpool FC,10.0,307.0,0.0,0.0,Attack,right,173.0,64.0,85.0,46.0,1521.0,82.0,52.0,51.0,71.0,28.0,52.0,1.8
Mohamed-Ali Cho,20,France,OGC Nice,10.0,4272.0,7.0,7.0,Attack,left,182.0,74.0,83.0,35.0,1683.0,80.0,69.0,64.0,76.0,26.0,56.0,9.0
Andreas Schjelderup,20,Norway,SL Benfica,10.0,4476.0,19.0,8.0,Attack,right,176.0,72.0,84.0,59.0,1779.0,78.0,66.0,65.0,76.0,35.0,54.0,5.5
Ahmetcan Kaplan,21,Türkiye,Ajax Amsterdam,10.0,1828.0,0.0,2.0,Defender,left,189.0,68.0,81.0,61.0,1518.0,64.0,30.0,48.0,53.0,69.0,70.0,2.7
Cesare Casadei,21,Italy,Chelsea FC,10.0,308.0,1.0,2.0,Midfield,right,185.0,68.0,82.0,49.0,1904.0,70.0,67.0,67.0,68.0,62.0,70.0,2.9
Mario Stroeykens,19,Belgium,RSC Anderlecht,10.0,3056.0,8.0,6.0,Midfield,right,177.0,71.0,83.0,47.0,1808.0,74.0,69.0,67.0,72.0,42.0,64.0,4.4
Devyne Rensch,21,Netherlands,Ajax Amsterdam,10.0,8308.0,9.0,11.0,Defender,both,181.0,74.0,82.0,47.0,1870.0,75.0,56.0,66.0,71.0,73.0,68.0,9.0
Dilane Bakwa,21,France,RC Strasbourg Alsace,10.0,2275.0,3.0,6.0,Attack,left,180.0,75.0,82.0,45.0,1786.0,86.0,68.0,68.0,78.0,30.0,62.0,11.0
Luca Netz,21,Germany,Borussia Mönchengladbach,10.0,5149.0,3.0,14.0,Defender,left,184.0,75.0,80.0,52.0,1874.0,79.0,48.0,69.0,72.0,71.0,65.0,8.0
Joe Scally,21,United States,Borussia Mönchengladbach,10.0,7051.0,3.0,6.0,Defender,right,184.0,74.0,80.0,49.0,1830.0,81.0,49.0,63.0,71.0,71.0,72.0,6.0
Christian Mawissa,19,France,AS Monaco,9.0,1399.0,2.0,0.0,Defender,left,180.0,71.0,85.0,51.0,1598.0,66.0,31.0,53.0,60.0,71.0,72.0,4.1
Alejo Veliz,20,Argentina,RCD Espanyol Barcelona,9.0,76.0,1.0,0.0,Attack,right,186.0,75.0,85.0,37.0,1746.0,71.0,74.0,54.0,70.0,25.0,73.0,12.0
Roony Bardghji,18,Sweden,FC Copenhagen,9.0,2085.0,12.0,0.0,Attack,left,173.0,70.0,85.0,63.0,1728.0,75.0,68.0,63.0,74.0,30.0,53.0,3.6
Andy Diouf,21,France,RC Lens,9.0,1458.0,1.0,0.0,Midfield,left,187.0,74.0,82.0,57.0,2016.0,76.0,68.0,71.0,75.0,67.0,75.0,9.0
Máximo Perrone,21,Argentina,Manchester City,9.0,1712.0,0.0,0.0,Midfield,left,177.0,71.0,83.0,56.0,1843.0,68.0,54.0,66.0,74.0,68.0,69.0,4.5
Hákon Arnar Haraldsson,21,Iceland,LOSC Lille,9.0,1564.0,3.0,0.0,Attack,right,180.0,73.0,83.0,51.0,1934.0,76.0,64.0,70.0,75.0,57.0,68.0,6.5
Lucas Gourna-Douath,21,France,Red Bull Salzburg,9.0,3122.0,1.0,0.0,Midfield,right,185.0,73.0,83.0,46.0,1870.0,76.0,52.0,65.0,71.0,70.0,76.0,6.0
Arne Engels,20,Belgium,FC Augsburg,9.0,2930.0,3.0,9.0,Midfield,right,185.0,72.0,83.0,56.0,1965.0,68.0,64.0,73.0,74.0,63.0,71.0,5.0
Julien Duranville,18,Belgium,Borussia Dortmund,8.5,279.0,1.0,0.0,Attack,right,173.0,66.0,87.0,51.0,1601.0,84.0,60.0,58.0,75.0,23.0,48.0,2.7
Diego Gómez,21,Paraguay,Inter Miami CF,8.0,25.0,0.0,0.0,Midfield,right,164.0,68.0,78.0,35.0,1831.0,75.0,63.0,65.0,69.0,59.0,72.0,2.6
Kassoum Ouattara,19,France,AS Monaco,8.0,634.0,1.0,0.0,Defender,left,176.0,69.0,83.0,43.0,1700.0,77.0,41.0,60.0,68.0,63.0,68.0,3.1
Paul Wanner,18,Germany,1.FC Heidenheim 1846,8.0,92.0,0.0,0.0,Midfield,left,185.0,66.0,86.0,56.0,1643.0,68.0,52.0,64.0,72.0,44.0,45.0,2.3
Ethan Nwaneri,17,England,Arsenal FC U21,8.0,14.0,0.0,0.0,Midfield,left,176.0,61.0,86.0,54.0,1597.0,68.0,59.0,59.0,63.0,39.0,50.0,1.0
Tom Rothe,19,Germany,1.FC Union Berlin,8.0,177.0,1.0,1.0,Defender,left,193.0,70.0,83.0,47.0,1745.0,67.0,45.0,65.0,66.0,66.0,75.0,3.5
Soungoutou Magassa,20,France,AS Monaco,8.0,1423.0,0.0,0.0,Defender,right,188.0,72.0,82.0,50.0,1750.0,58.0,48.0,64.0,62.0,71.0,71.0,4.7
Samuel Edozie,21,England,Southampton FC,8.0,855.0,0.0,0.0,Attack,right,181.0,67.0,80.0,50.0,1583.0,81.0,56.0,58.0,71.0,28.0,51.0,2.5
Konstantinos Koulierakis,20,Greece,PAOK Thessaloniki,8.0,3953.0,3.0,1.0,Defender,left,188.0,72.0,81.0,50.0,1730.0,69.0,43.0,56.0,63.0,71.0,71.0,4.7
Liam Delap,21,England,Ipswich Town,8.0,120.0,0.0,0.0,Attack,right,186.0,71.0,82.0,48.0,1735.0,76.0,70.0,58.0,70.0,29.0,74.0,4.1
Loum Tchaouna,20,France,SS Lazio,8.0,2312.0,6.0,4.0,Attack,left,180.0,67.0,79.0,63.0,1784.0,79.0,69.0,62.0,71.0,37.0,61.0,2.4
Jean-Mattéo Bahoya,19,France,Eintracht Frankfurt,7.5,434.0,0.0,0.0,Attack,right,180.0,66.0,80.0,56.0,1681.0,71.0,65.0,60.0,71.0,40.0,54.0,2.0
Ismaël Gharbi,20,Spain,Paris Saint-Germain,7.5,63.0,0.0,0.0,Midfield,right,173.0,68.0,78.0,52.0,1683.0,73.0,57.0,63.0,74.0,40.0,46.0,2.6
Kevin Paredes,21,United States,VfL Wolfsburg,7.5,1993.0,4.0,3.0,Midfield,left,175.0,72.0,82.0,51.0,1754.0,80.0,58.0,65.0,76.0,55.0,47.0,5.0
Junior Mwanga,21,France,RC Strasbourg Alsace,7.0,1456.0,1.0,1.0,Midfield,both,184.0,72.0,81.0,47.0,1785.0,68.0,50.0,62.0,68.0,71.0,72.0,4.8
Saël Kumbedi,19,France,Olympique Lyon,7.0,2233.0,0.0,4.0,Defender,right,175.0,71.0,82.0,37.0,1753.0,82.0,42.0,62.0,72.0,65.0,62.0,3.8
Darío Osorio,20,Chile,FC Midtjylland,7.0,659.0,5.0,0.0,Attack,left,184.0,66.0,78.0,49.0,1671.0,77.0,63.0,63.0,68.0,31.0,59.0,2.0
Adamo Nagalo,21,Burkina Faso,FC Nordsjaelland,7.0,5814.0,4.0,2.0,Defender,right,185.0,71.0,82.0,55.0,1625.0,70.0,29.0,55.0,62.0,70.0,77.0,3.8
Omari Hutchinson,20,Jamaica,Ipswich Town,7.0,49.0,0.0,0.0,Midfield,left,174.0,68.0,83.0,39.0,1749.0,76.0,63.0,64.0,71.0,46.0,55.0,2.9
Guéla Doué,21,Cote d'Ivoire,RC Strasbourg Alsace,7.0,1542.0,0.0,4.0,Defender,right,187.0,70.0,81.0,59.0,1739.0,71.0,39.0,59.0,69.0,69.0,71.0,3.3
Isaak Touré,21,France,FC Lorient,7.0,3707.0,2.0,1.0,Defender,left,206.0,72.0,83.0,45.0,1581.0,66.0,30.0,51.0,56.0,69.0,83.0,4.8
Kristian Hlynsson,20,Iceland,Ajax Amsterdam,7.0,2099.0,7.0,3.0,Midfield,right,179.0,69.0,83.0,49.0,1702.0,67.0,63.0,63.0,72.0,41.0,48.0,3.3
Matías Arezo,21,Uruguay,Grêmio Foot-Ball Porto Alegrense,7.0,515.0,0.0,0.0,Attack,right,177.0,71.0,81.0,45.0,1841.0,68.0,74.0,61.0,71.0,42.0,64.0,4.1
Ryan Flamingo,21,Netherlands,PSV Eindhoven,7.0,5745.0,5.0,2.0,Defender,right,183.0,70.0,80.0,51.0,1863.0,65.0,61.0,62.0,64.0,69.0,75.0,3.3
